Absolute Number,TS_Ver,TS_Degree of Automation,TS_State of Automation
4660,passed,Auto,Implemented
4890,passed,Auto,Implemented
4664,passed,Auto,Implemented
16022,passed,Auto,Implemented
16023,passed,Auto,Implemented
16024,passed,Auto,Implemented
16025,,Auto,In work
4701,,Auto,In work
4703,,Auto,In work
18276,passed,Auto,Implemented
16150,,Auto,In work
16151,,Auto,In work
18277,passed,Auto,Implemented
17170,passed,Auto,Implemented
17173,passed,Auto,Implemented
17172,,Auto,In work
17177,,Auto,In work
17174,,Auto,In work
17175,,Auto,In work
17176,,Auto,In work
17178,,Auto,In work
17563,,Auto,In work
17179,,Auto,In work
17180,,Auto,In work
17181,,Auto,In work
17182,,Auto,In work
17183,,Auto,In work
17184,,Auto,In work
17564,,Auto,In work
17565,,Auto,In work
17569,,Auto,In work
4679,passed,Auto,Implemented
4680,passed,Auto,Implemented
4681,passed,Auto,Implemented
4682,passed,Auto,Implemented
16027,passed,Auto,Implemented
4683,passed,Auto,Implemented
4684,passed,Auto,Implemented
4685,passed,Auto,Implemented
4686,passed,Auto,Implemented
4704,passed,Auto,Implemented
4705,passed,Auto,Implemented
4706,passed,Auto,Implemented
15596,passed,Auto,Implemented
4707,passed,Auto,Implemented
4708,passed,Auto,Implemented
4712,passed,Auto,Implemented
4715,passed,Auto,Implemented
4716,passed,Auto,Implemented
4720,passed,Auto,Implemented
15853,passed,Auto,Implemented
15854,passed,Auto,Implemented
15855,passed,Auto,Implemented
15856,passed,Auto,Implemented
4721,passed,Auto,Implemented
4723,passed,Auto,Implemented
16152,passed,Auto,Implemented
16619,passed,Auto,Implemented
16620,passed,Auto,Implemented
16621,passed,Auto,Implemented
16622,passed,Auto,Implemented
17140,,Auto,In work
4731,passed,Auto,Implemented
4732,passed,Auto,Implemented
4733,,Auto,In work
7481,,Auto,In work
7482,passed,Auto,Implemented
7484,passed,Auto,Implemented
7483,,Auto,In work
4744,passed,Auto,Implemented
16904,passed,Auto,Implemented
4745,,Auto,In work
16658,,Auto,In work
4734,passed,Auto,Implemented
4735,,Auto,In work
4736,,Auto,In work
4758,,Auto,In work
4762,,Auto,In work
4759,,Auto,In work
4763,,Auto,In work
4761,,Auto,In work
4753,,Auto,In work
17144,,Auto,In work
4957,,Auto,In work
4958,,Auto,In work
4959,,Auto,In work
4960,,Auto,In work
4968,passed,Auto,Implemented
4969,passed,Auto,Implemented
16153,,Auto,In work
16154,,Auto,In work
4970,passed,Auto,Implemented
4971,passed,Auto,Implemented
4972,passed,Auto,Implemented
4973,passed,Auto,Implemented
5017,,Auto,In work
5019,,Auto,In work
5020,,Auto,In work
5021,,Auto,In work
7472,,Auto,In work
5022,,Auto,In work
7473,,Auto,In work
7474,,Auto,In work
7477,,Auto,In work
17611,,Auto,In work
8107,passed,Auto,Implemented
8108,passed,Auto,Implemented
7984,passed,Auto,Implemented
7985,passed,Auto,Implemented
7986,passed,Auto,Implemented
7987,passed,Auto,Implemented
7988,passed,Auto,Implemented
7989,passed,Auto,Implemented
7990,passed,Auto,Implemented
7991,passed,Auto,Implemented
7992,passed,Auto,Implemented
17130,passed,Auto,Implemented
16441,passed,Auto,Implemented
8100,passed,Auto,Implemented
7870,passed,Auto,Implemented
7871,passed,Auto,Implemented
7873,passed,Auto,Implemented
7874,passed,Auto,Implemented
8186,passed,Auto,Implemented
8187,passed,Auto,Implemented
7876,passed,Auto,Implemented
7877,passed,Auto,Implemented
7878,passed,Auto,Implemented
